I lost.|I lose.
I am a monk.|I be a monk.
I am better.|I be better.
I am coming.|I be coming.
I am hungry.|I be hungry.
I am joking.|I be joking.
I am single.|I be single.
I am taller.|I be taller.
I asked Tom.|I ask Tom.
I buried it.|I bury it.
I burned it.|I burn it.
I came back.|I come back.
I confessed.|I confess.
I didn't go.|I don't go.
I exercised.|I exercise.
I feel lost.|I feel lose.
I got bored.|I get bored.
I got dizzy.|I get dizzy.
I got fined.|I get fined.
I got lucky.|I get lucky.
I got upset.|I get upset.
I had to go.|I have to go.
I loved you.|I love you.
I messed up.|I mess up.
I nailed it.|I nail it.
I recovered.|I recover.
I said stop.|I say stop.
I said that.|I say that.
I saved you.|I save you.
I waited up.|I wait up.
I was alone.|I be alone.
I was bored.|I be bored.
I was broke.|I be broke.
I was dizzy.|I be dizzy.
I was drunk.|I be drunk.
I was fired.|I be fired.
I was hired.|I be hired.
I was lucky.|I be lucky.
I was moved.|I be moved.
I was naive.|I be naive.
I was ready.|I be ready.
I was sober.|I be sober.
I was sorry.|I be sorry.
I was there.|I be there.
I was tired.|I be tired.
I was wrong.|I be wrong.
I washed it.|I wash it.
I went home.|I go home.
I went, too.|I go, too.
I'm baffled.|I'm baffle.
I'm blessed.|I'm bless.
I'm dancing.|I'm dance.
I'm dieting.|I'm diet.
I'm driving.|I'm drive.
I'm engaged.|I'm engage.
I'm excited.|I'm excite.
I'm fasting.|I'm fast.
I'm humming.|I'm hum.
I'm kidding.|I'm kid.
I'm leaving.|I'm leave.
I'm puzzled.|I'm puzzle.
I'm retired.|I'm retire.
I'm shocked.|I'm shock.
I'm sloshed.|I'm slosh.
I'm starved.|I'm starve.
I'm staying.|I'm stay.
I'm stunned.|I'm stun.
I'm talking.|I'm talk.
I'm teasing.|I'm tease.
I'm touched.|I'm touch.
I'm winning.|I'm win.
I'm working.|I'm work.
I've failed.|I've fail.
Is she gone?|Is she go?
It is foggy.|It be foggy.
It was long.|It be long.
It's locked.|It's lock.
Keep trying.|Keep try.
Life is fun.|Life be fun.
Lunch is on.|Lunch be on.
No one came.|No one come.
No one died.|No one die.
Nobody came.|Nobody come.
Nobody died.|Nobody die.
She blushed.|She blush.
She fainted.|She faint.
She is curt.|She be curt.
She is dead.|She be dead.
She is kind.|She be kind.
She is late.|She be late.
Stop crying.|Stop cry.
Stop trying.|Stop try.
That is all.|That be all.
That worked.|That work.
There he is.|There he be.
There it is.|There it be.
They burned.|They burn.
They got it.|They get it.
They hugged.|They hug.
They smiled.|They smile.
This is bad.|This be be bad.
This is big.|This be big.
This is fun.|This be fun.
This is his.|This be hbe.
This is new.|This be new.
This is odd.|This be odd.
Tom blinked.|Tom blink.
Tom drowned.|Tom drown.
Tom is dead.|Tom be dead.
Tom is nuts.|Tom be nuts.
Tom is weak.|Tom be weak.
Tom laughed.|Tom laugh.
Tom's bored.|Tom's bore.
Tom's lying.|Tom's lie.
War is evil.|War be evil.
War is hell.|War be hell.
We are even.|We be even.
We are here.|We be here.
We are late.|We be late.
We did fine.|We do fine.
We did that.|We do that.
We promised.|We promise.
We survived!|We survive!
We survived.|We survive.
We're armed.|We're arm.
We're bored.|We're bore.
We're dying.|We're die.
We're going.|We're go.
We're saved.|We're save.
We're tired.|We're tire.
What is art?|What be art?
What was it?|What be it?
Where is he?|Where be he?
Where was I?|Where be I?
Who are you?|Who be you?
Who is next?|Who be next?
Who's going?|Who's go?
Whose is it?|Whose be it?
You are big.|You be big.
You are mad.|You be mad.
You cheated.|You cheat.
You fainted.|You faint.
You're lost.|You're lose.
All is quiet.|All be quiet.
All is still.|All be still.
Are you lost?|Are you lose?
Easy does it.|Easy do it.
He denied it.|He deny it.
He dozed off.|He doze off.
He got angry.|He get angry.
He had a dog.|He have a dog.
He has a car.|He have a car.
He has money.|He have money.
He is a poet.|He be a poet.
He is asleep.|He be asleep.
He is cranky.|He be cranky.
He is eating.|He be eating.
He is heroic.|He be heroic.
He is not in.|He be not in.
He kicked it.|He kick it.
He lost face.|He lose face.
He wants one.|He want one.
He was alone.|He be alone.
He was brave.|He be brave.
He was great.|He be great.
He was lucky.|He be lucky.
He was naive.|He be naive.
He was wrong.|He be wrong.
How annoying!|How annoy!
How did I do?|How do I do?
I am Italian.|I be Italian.
I am ashamed.|I be ashbeed.
I am at home.|I be at home.
I am curious.|I be curious.
I am married.|I be married.
I am so sick.|I be so sick.
I am thirsty.|I be thirsty.
I am working.|I be working.
I apologized.|I apologize.
I called him.|I call him.
I called you.|I call you.
I cried, too.|I cry, too.
I did my job.|I do my job.
I did see it.|I do see it.
I didn't ask.|I don't ask.
I didn't cry.|I don't cry.
I didn't pay.|I don't pay.
I didn't win.|I don't win.
I enjoyed it.|I enjoy it.
I got carded.|I get carded.
I got caught.|I get caught.
I got dumped.|I get dumped.
I got sleepy.|I get sleepy.
I got soaked.|I get soaked.
I had doubts.|I have doubts.
I handled it.|I handle it.
I helped out.|I help out.
I hugged her.|I hug her.
I just moved.|I just move.
I kissed Tom.|I kiss Tom.
I loved that.|I love that.
I made a bet.|I make a bet.
I made plans.|I make plans.
I made these.|I make these.
I missed you.|I miss you.
I said maybe.|I say maybe.
I see a rose.|I see a rise.
I started it.|I start it.
I took risks.|I take risks.
I tried hard.|I try hard.
I tried that.|I try that.
I was asleep.|I be asleep.
I was beaten.|I be beaten.
I was burned.|I be burned.
I was canned.|I be canned.
I was framed.|I be framed.
I was lonely.|I be lonely.
I was shaken.|I be shaken.
I was sleepy.|I be sleepy.
I was stupid.|I be stupid.
I was warned.|I be warned.
I went twice.|I go twice.
I wrote that.|I write that.
I'm addicted.|I'm addict.
I'm all done.|I'm all do.
I'm confused.|I'm confuse.
I'm cultured.|I'm culture.
I'm divorced.|I'm divorce.
I'm drowning.|I'm drown.
I'm famished.|I'm famish.
I'm fighting.|I'm fight.
I'm finished.|I'm finish.
I'm freezing.|I'm freeze.
I'm grounded.|I'm ground.
I'm involved.|I'm involve.
I'm managing.|I'm manage.
I'm not done.|I'm not do.
I'm offended.|I'm offend.
I'm outraged.|I'm outrage.
I'm reformed.|I'm reform.
I'm shooting.|I'm shoot.
I'm sleeping.|I'm sleep.
I'm so tired!|I'm so tire!
I'm speaking.|I'm speak.
I'm starving!|I'm starve!
I'm starving.|I'm starve.
I'm thinking.|I'm think.
I'm thrilled.|I'm thrill.
I've decided.|I've decide.
I've done it.|I've do it.
I've got you.|I've get you.
I've lost it.|I've lose it.
I've retired.|I've retire.
I've seen it.|I've see it.
Iron is hard.|Iron be hard.
It amazed me.|It amaze me.
It has begun.|It have begun.
It is a book.|It be a book.
It is a song.|It be a song.
It is my cat.|It be my cat.
It is unfair.|It be unfair.
It isn't new.|It ben't new.
It scared me.|It scar me.
It took time.|It take time.
It was black.|It be black.
It was night.|It be night.
It was noisy.|It be noisy.
It was white.|It be white.
It wasn't me.|It ben't me.
It's missing.|It's miss.
It's snowing.|It's snow.
It's started.|It's start.
Keep driving.|Keep drive.
Keep looking.|Keep look.
Keep running.|Keep run.
Keep working.|Keep work.
Life goes on.|Life go on.
Life is hard.|Life be hard.
Mary is cute.|Mary be cute.
Men are pigs.|Men be pigs.
No one cared.|No one care.
No one moved.|No one move.
Nobody asked.|Nobody ask.
She is a fox.|She be a fox.
She is lucky.|She be lucky.
She is quiet.|She be quiet.
She is sharp.|She be sharp.
She is wrong.|She be wrong.
She is young.|She be young.
She liked it.|She like it.
She shrieked.|She shriek.
She sued him.|She sue him.
She was busy.|She be busy.
She went out.|She go out.
Someone came.|Someone come.
Stop arguing.|Stop argue.
Stop filming.|Stop film.
Stop gawking.|Stop gawk.
Stop staring.|Stop star.
Stop talking.|Stop talk.
Stop yelling!|Stop yell!
Stop yelling.|Stop yell.
That is mine.|That be mine.
They escaped.|They escape.
They gave up.|They give up.
They laughed.|They laugh.
They refused.|They refuse.
They said no.|They say no.
They sweated.|They sweat.
They're done.|They're do.
They're gone.|They're go.
This is easy.|The be easy.
This is fine.|The be fine.
This is free.|The be free.
This is gold.|The be gold.
This is hers.|The be hers.
This is huge.|The be huge.
This is lame.|The be lame.
This is life!|The be life!
This is love.|The be love.
This is mine.|The be mine.
This is nice.|The be nice.
This is sick.|The be sick.
This is ugly.|The be ugly.
Tom finished.|Tom finish.
Tom is a spy.|Tom be a spy.
Tom is awful.|Tom be awful.
Tom is blind.|Tom be blind.
Tom is cruel.|Tom be cruel.
Tom is drunk.|Tom be drunk.
Tom is dying.|Tom be dying.
Tom is there.|Tom be there.
Tom listened.|Tom listen.
Tom loved it.|Tom love it.
Tom shrugged.|Tom shrug.
Tom was poor.|Tom be poor.
Tom was shot.|Tom be shot.
Tom's coming.|Tom's come.
Tom's eating.|Tom's eat.
We all cried.|We all cry.
We are Arabs.|We be Arabs.
We are happy.|We be happy.
We get on OK.   We got lucky.|We get on OK.   We get lucky.
We got ready.|We get ready.
We needed it.|We need it.
We succeeded!|We succeed!
We succeeded.|We succeed.
We were busy.|We be busy.
We're biased.|We're bias.
We're closed.|We're close.
We're coming.|We're come.
We're dating.|We're date.
We're doomed.|We're doom.
We're losing.|We're lose.
We're moving.|We're move.
We're paying.|We're pay.
We're ruined.|We're ruin.
We're trying.|We're try.
What is love?|What be love?
What is that?|What be that?
What is this?|What be thbe?
Where is she?|Where be she?
Who are they?|Who be they?
Who did this?|Who do this?
Who has come?|Who have come?
Who wants it?|Who want it?
Who was here?|Who be here?
Who's coming?|Who's come?
Years passed.|Years pass.
You are good.|You be good.
You are late.|You be late.
You are rich.|You be rich.
You did this.|You do this.
You promised.|You promise.
You were shy.|You be shy.
You're fired.|You're fire.
You're lying!|You're lie!
You're lying.|You're lie.
You've tried.|You've try.
A car went by.|A car go by.
Am I dreaming?|Am I dream?
Am I included?|Am I include?
Are you bored?|Are you bore?
Are you tired?|Are you tire?
Cats are cute.|Cats be cute.
Crime is down.|Crime be down.
He cheated me.|He cheat me.
He cracked up.|He crack up.
He dropped it.|He drop it.
He fooled her.|He fool her.
He got caught.|He get caught.
He has a book.|He have a book.
He has a cold.|He have a cold.
He has a maid.|He have a maid.
He has braces.|He have braces.
He hugged her.|He hug her.
He ignored me.|He ignore me.
He is British.|He be Britbeh.
He is English.|He be Englbeh.
He is a thief.|He be a thief.
He is foolish.|He be foolbeh.
He is my boss.|He be my boss.
He is my type!|He be my type!
He is no fool.|He be no fool.
He is out now.|He be out now.
He is reading.|He be reading.
He is running.|He be running.
He is skating.|He be skating.
He is too old.|He be too old.
He killed him.|He kill him.
He lied to me.|He lie to me.
He liked that.|He like that.
He made me go.|He make me go.
He pinched me!|He pinch me!
He seems kind.|He seem kind.
He sells cars.|He sell cars.
He touched me.|He touch me.
He wants more.|He want more.
He was crying.|He be crying.
He was stoned.|He be stoned.
He went blind.|He go blind.
He's addicted.|He's addict.
He's annoying.|He's annoy.
He's outraged.|He's outrage.
He's studying.|He's study.
Here he comes.|Here he come.
His nose bled.|His nose bleed.
How big is he?|How big be he?
How big is it?|How big be it?
How old is he?|How old be he?
How thrilling!|How thrill!
I am American.|I be American.
I am Japanese.|I be Japanese.
I am a Muslim.|I be a Muslim.
I am a runner.|I be a runner.
I am all ears.|I be all ears.
I am diabetic.|I be diabetic.
I am divorced.|I be divorced.
I am in Paris.|I be in Paris.
I am new here.|I be new here.
I am not deaf.|I be not deaf.
I am so sorry.|I be so sorry.
I am very sad.|I be very sad.
I became rich.|I become rich.
I borrowed it.|I borrow it.
I burned them.|I burn them.
I called home.|I call home.
I called them.|I call them.
I canceled it.|I cancel it.
I caused this.|I cause this.
I contributed.|I contribute.
I cried a lot.|I cry a lot.
I deserved it.|I deserve it.
I designed it.|I design it.
I did it once.|I do it once.
I did my best.|I do my best.
I did my part.|I do my part.
I did nothing.|I do nothing.
I did see him.|I do see him.
I didn't call.|I don't call.
I didn't care.|I don't care.
I didn't know.|I don't know.
I didn't look.|I don't look.
I didn't move.|I don't move.
I didn't stop.|I don't stop.
I didn't vote.|I don't vote.
I didn't walk.|I don't walk.
I felt scared.|I felt scar.
I finished it.|I finish it.
I freaked out.|I freak out.
I got a bonus.|I get a bonus.
I got it free.|I get it free.
I got married.|I get married.
I got nothing.|I get nothing.
I got scammed.|I get scammed.
I got thirsty.|I get thirsty.
I had an idea.|I have an idea.
I had no clue.|I have no clue.
I had no idea.|I have no idea.
I had to stay.|I have to stay.
I had to stop.|I have to stop.
I had to work.|I have to work.
I hate flying.|I hate fly.
I hate losing.|I hate lose.
I hate moving.|I hate move.
I have failed.|I have fail.
I have had it.|I have have it.
I ignored him.|I ignore him.
I just did it.|I just do it.
I just got up.|I just get up.
I just smiled.|I just smile.
I looked away.|I look away.
I looked down.|I look down.
I lost my dog.|I lose my dog.
I lost my key.|I lose my key.
I love hiking.|I love hike.
I made a deal.|I make a deal.
I made a list.|I make a list.
I made coffee.|I make coffee.
I made dinner.|I make dinner.
I made him go.|I make him go.
I nearly died.|I nearly die.
I needed help.|I need help.
I rescheduled.|I reschedule.
I rescued her.|I rescue her.
I rescued him.|I rescue him.
I rescued you.|I rescue you.
I said thanks.|I say thanks.
I slapped him.|I slap him.
I took a bath.|I take a bath.
I tried again.|I try again.
I trusted you.|I trust you.
I volunteered.|I volunteer.
I walked here.|I walk here.
I wanted this.|I want this.
I was ashamed.|I be ashamed.
I was at home.|I be at home.
I was at work.|I be at work.
I was careful.|I be careful.
I was curious.|I be curious.
I was dancing.|I be dancing.
I was drugged.|I be drugged.
I was furious.|I be furious.
I was invited.|I be invited.
I was kidding.|I be kidding.
I was pleased.|I be pleased.
I was relaxed.|I be relaxed.
I was singing.|I be singing.
I was stunned.|I be stunned.
I was tempted.|I be tempted.
I was too shy.|I be too shy.
I was trapped.|I be trapped.
I was unarmed.|I be unarmed.
I was worried.|I be worried.
I wasn't done.|I ben't done.
I wasn't home.|I ben't home.
I went aboard.|I go aboard.
I went hiking.|I go hiking.
I went inside.|I go inside.
I worked hard.|I work hard.
I'll be going.|I'll be go.
I'll get lost.|I'll get lose.
I'm contented.|I'm content.
I'm convinced.|I'm convince.
I'm disgusted.|I'm disgust.
I'm exhausted.|I'm exhaust.
I'm intrigued.|I'm intrigue.
I'm listening.|I'm listen.
I'm motivated.|I'm motivate.
I'm not armed.|I'm not arm.
I'm not dying.|I'm not die.
I'm not going.|I'm not go.
I'm not lying.|I'm not lie.
I'm not tired.|I'm not tire.
I'm plastered.|I'm plaster.
I'm saying no.|I'm say no.
I'm surviving.|I'm survive.
I'm terrified.|I'm terrify.
I'm tired now.|I'm tire now.
I've finished.|I've finish.
I've got eyes.|I've get eyes.
Is he looking?|Is he look?
Is it damaged?|Is it damage?
Is it helping?|Is it help?
Is it raining?|Is it rain?
It came apart.|It come apart.
It gets worse.|It get worse.
It had snowed.|It have snowed.
It is a curse.|It be a curse.
It is no joke.|It be no joke.
It is snowing.|It be snowing.
It is the law.|It be the law.
It is too hot.|It be too hot.
It made sense.|It make sense.
It takes time.|It take time.
It was a gift.|It be a gift.
It was a mess.|It be a mess.
It was a test.|It be a test.
It was boring.|It be boring.
It was broken.|It be broken.
It was simple.|It be simple.
It was superb.|It be superb.
It wasn't him.|It ben't him.
It went viral.|It go viral.
It's all gone.|It's all go.
It's exciting.|It's excite.
It's occupied.|It's occupy.
It's stealing.|It's steal.
I’m falling.|I’m fall.
Life is crazy.|Life be crazy.
Life is short.|Life be short.
Life is sweet.|Life be sweet.
Love is blind.|Love be blind.
Luck is blind.|Luck be blind.
Man is mortal.|Man be mortal.
Mary is weird.|Mary be weird.
No, he didn't.|No, he don't.
Nobody got up.|Nobody get up.
Our team lost.|Our team lose.
Quit gambling.|Quit gamble.
Red is better.|Red be better.
She came last.|She come last.
She got angry.|She get angry.
She had twins.|She have twins.
She hated him.|She hat him.
She hired him.|She hire him.
She is French.|She be French.
She is a twin.|She be a twin.
She is active.|She be active.
She is crying.|She be crying.
She is gentle.|She be gentle.
She is strong.|She be strong.
She seems sad.|She seem sad.
She wants him.|She want him.
She was brave.|She be brave.
She was livid.|She be livid.
She was lying.|She be lying.
She was naive.|She be naive.
She went home.|She go home.
She's dieting.|She's diet.
Start running.|Start run.
Start writing.|Start write.
Stop frowning.|Stop frown.
Stop shooting.|Stop shoot.
Stop worrying.|Stop worry.
That was cool.|That be cool.
That was easy.|That be easy.
That was mean.|That be mean.
That was ours.|That be ours.
There is hope.|There be hope.
There you are.|There you be.
They all died.|They all die.
They are here.|They be here.
They canceled.|They cancel.
They embraced.|They embrace.
They said yes.|They say yes.
They saved us.|They save us.
They're armed.|They're arm.
They're dying.|They're die.
They're lying.|They're lie.
They're tired.|They're tire.
This is Italy.|The be Italy.
This is Japan.|The be Japan.
This is a DVD.|The be a DVD.
This is a dog.|The be a dog.
This is a map.|The be a map.
This is a pen.|The be a pen.
This is a pun.|The be a pun.
This is a wig.|The be a wig.
This is awful.|The be awful.
This is cheap.|The be cheap.
This is crazy.|The be crazy.
This is funny.|The be funny.
This is great.|The be great.
This is my CD.|The be my CD.
This is silly.|The be silly.
This is sweet.|The be sweet.
This is weird.|The be weird.
This is yours.|The be yours.
Time is money.|Time be money.
Tom got stuck.|Tom get stuck.
Tom has a dog.|Tom have a dog.
Tom hesitated.|Tom hesitate.
Tom is OK now.|Tom be OK now.
Tom is boring.|Tom be boring.
Tom is chubby.|Tom be chubby.
Tom is eating.|Tom be eating.
Tom is guilty.|Tom be guilty.
Tom is hiding.|Tom be hiding.
Tom is in bed.|Tom be in bed.
Tom is voting.|Tom be voting.
Tom is vulgar.|Tom be vulgar.
Tom just died.|Tom just die.
Tom lost hope.|Tom lose hope.
Tom missed it.|Tom miss it.
Tom walked in.|Tom walk in.
Tom was alive.|Tom be alive.
Tom was cruel.|Tom be cruel.
Tom was dying.|Tom be dying.
Tom was scary.|Tom be scary.
Tom was third.|Tom be third.
Tom was upset.|Tom be upset.
Tom went pale.|Tom go pale.
Tom's adopted.|Tom's adopt.
Tom's arrived.|Tom's arrive.
Tom's excited.|Tom's excite.
Tom's helping.|Tom's help.
Tom's working.|Tom's work.
Tom's wounded.|Tom's wound.
Was I snoring?|Was I snore?
We all agreed.|We all agree.
We are at war.|We be at war.
We are doomed.|We be doomed.
We missed you.|We miss you.
We took a cab.|We take a cab.
We wanted you.|We want you.
We were bored.|We be bored.
We were lucky.|We be lucky.
We were right.|We be right.
We're baffled.|We're baffle.
We're dancing.|We're dance.
We're dieting.|We're diet.
We're engaged.|We're engage.
We're fasting.|We're fast.
We're kidding.|We're kid.
We're shocked.|We're shock.
We're sloshed.|We're slosh.
We're smashed.|We're smash.
We're stalled.|We're stall.
We're starved.|We're starve.
We're staying.|We're stay.
We're stunned.|We're stun.
We're touched.|We're touch.
We're trapped!|We're trap!
We're trapped.|We're trap.
We're waiting.|We're wait.
We're winning.|We're win.
We're working.|We're work.
We've arrived.|We've arrive.
We've seen it.|We've see it.
What did I do?|What do I do?
What happened?|What happen?
What is a UFO?|What be a UFO?
Where are you?|Where be you?
Where is Mary?|Where be Mary?
Where were we?|Where be we?
Which is mine?|Which be mine?
Who hired you?|Who hire you?
Who is absent?|Who be absent?
Who said that?|Who say that?
Who wants tea?|Who want tea?
Who's dieting?|Who's diet?
Who's winning?|Who's win?
Whose is this?|Whose be thbe?
You are crazy.|You be crazy.
You are drunk!|You be drunk!
You are early.|You be early.
You are lying.|You be lying.
You are sharp.|You be sharp.
You are wrong.|You be wrong.
You needed me.|You need me.
You were mine.|You be mine.
You're biased.|You're bias.
You're loaded.|You're load.
You're losing.|You're lose.
You've failed.|You've fail.
Am I qualified?|Am I qualify?
Apples are red.|Apples be red.
Are we leaving?|Are we leave?
Are you coming?|Are you come?
Are you crying?|Are you cry?
Are you hiring?|Are you hire?
Autumn is here.|Autumn be here.
Both are alive.|Both be alive.
Cash is better.|Cash be better.
Cats are smart.|Cats be smart.
Change is good.|Change be good.
Fishing is fun.|Fbehing be fun.
Go get changed.|Go get change.
Guess who I am.|Guess who I be.
Have you eaten?|Have you eat?
He almost died.|He almost die.
He asked me to.|He ask me to.
He became rich.|He become rich.
He came by bus.|He come by bus.
He came by car.|He come by car.
He deceived me.|He deceive me.
He deserved it.|He deserve it.
He doesn't lie.|He don't lie.
He doesn't tan.|He don't tan.
He gazed at me.|He gaze at me.
He got the job.|He get the job.
He has a beard.|He have a beard.
He has a lunch.|He have a lunch.
He has a point.|He have a point.
He has a video.|He have a video.
He has changed.|He have changed.
He has left us.|He have left us.
He has no fear.|He have no fear.
He has to come.|He have to come.
He hated lying.|He hat lying.
He is American.|He be American.
He is Canadian.|He be Canadian.
He is Japanese.|He be Japanese.
He is a genius.|He be a genius.
He is a writer.|He be a writer.
He is an actor.|He be an actor.
He is bankrupt.|He be bankrupt.
He is in Tokyo.|He be in Tokyo.
He is my uncle.|He be my uncle.
He is outgoing.|He be outgoing.
He is powerful.|He be powerful.
He is well off.|He be well off.
He looked back.|He look back.
He looked well.|He look well.
He looks tired.|He looks tire.
He lost a book.|He lose a book.
He passed away.|He pass away.
He scolded her.|He scold her.
He seems angry.|He seem angry.
He seems happy.|He seem happy.
He seems tired.|He seem tired.
He sells fruit.|He sell fruit.
He slapped her.|He slap her.
He sold us out.|He sell us out.
He surrendered.|He surrender.
He trusted you.|He trust you.
He walked away.|He walk away.
He wants to go.|He want to go.
He was English.|He be English.
He was in pain.|He be in pain.
He was invited.|He be invited.
He was panting.|He be panting.
He was patient.|He be patient.
He was perfect.|He be perfect.
He was stunned.|He be stunned.
He went skiing.|He go skiing.
He went to bed.|He go to bed.
He worked hard.|He work hard.
He's not going.|He's not go.
Here comes Tom.|Here come Tom.
Here is a book.|Here be a book.
Here is my key.|Here be my key.
Here she comes.|Here she come.
His head ached.|His head ache.
How deep is it?|How deep be it?
How did I look?|How do I look?
How did it end?|How do it end?
How did you do?|How do you do?
How good is he?|How good be he?
How high is it?|How high be it?
How long is it?|How long be it?
How much is it?|How much be it?
How tall is he?|How tall be he?
How was Boston?|How be Boston?
How wide is it?|How wide be it?
How's it going?|How's it go?
I am Hungarian.|I be Hungarian.
I am a shy boy.|I be a shy boy.
I am a student.|I be a student.
I am a teacher.|I be a teacher.
I am a tourist.|I be a tourist.
I am after him.|I be after him.
I am an artist.|I be an artist.
I am exhausted.|I be exhausted.
I am in London.|I be in London.
I am in a spot.|I be in a spot.
I am not happy.|I be not happy.
I am off today.|I be off today.
I am too short.|I be too short.
I am very tall.|I be very tall.
I believed you.|I believe you.
I called ahead.|I call ahead.
I came for you.|I come for you.
I corrected it.|I correct it.
I decorated it.|I decorate it.
I did have fun.|I do have fun.
I did warn you.|I do warn you.
I didn't argue.|I don't argue.
I didn't cheat.|I don't cheat.
I didn't do it.|I don't do it.
I didn't drive.|I don't drive.
I didn't flunk.|I don't flunk.
I didn't laugh.|I don't laugh.
I didn't sleep.|I don't sleep.
I didn't speak.|I don't speak.
I feel blessed.|I feel bless.
I feel honored.|I feel honor.
I feel trapped.|I feel trap.
I felt cheated.|I felt cheat.
I felt excited.|I felt excite.
I followed him.|I follow him.
I followed you.|I follow you.
I gave it away.|I give it away.
I gave it back.|I give it back.
I gave my word.|I give my word.
I gave up hope.|I give up hope.
I got arrested.|I get arrested.
I got confused.|I get confused.
I got divorced.|I get divorced.
I got expelled.|I get expelled.
I got nauseous.|I get nauseous.
I grew up here.|I grow up here.
I had a stroke.|I have a stroke.
I had a vision.|I have a vision.
I had fun here.|I have fun here.
I had some fun.|I have some fun.
I had to do it.|I have to do it.
I hate dancing.|I hate dance.
I hate dieting.|I hate diet.
I hate working.|I hate work.
I hated school.|I hat school.
I hurried home.|I hurry home.
I just gave up.|I just give up.
I just guessed.|I just guess.
I like running.|I like run.
I like singing.|I like sing.
I like talking.|I like talk.
I like walking.|I like walk.
I like working.|I like work.
I lost control.|I lose control.
I lost my keys.|I lose my keys.
